FID,OBJECTID,SHAPE,KATEGORIE_TXT,ADRESSE,FLAECHE,SPORTSTAETTEN_ART,WEBLINK1,SE_ANNO_CAD_DATA
SPORTSTAETTENOGD.1,1,POINT (16.376698774356793 48.20877943124742),Sporthalle,"1., B‰ckerstraﬂe 16",500,Kletterhalle,http://www.alpenverein.at/sportklettern/kletteranlagenfinder/detail.php?kletterhalleId=82,
SPORTSTAETTENOGD.2,2,POINT (16.36885746993614 48.2134003799159),÷ffentlich outdoor,"1., Bˆrsegasse, Bˆrseplatz 1-9",136,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.3,3,POINT (16.36734443650087 48.21438834148954),÷ffentlich outdoor,"1., Hermann-Gmeiner-Park",300,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.4,4,POINT (16.374959234338355 48.21054935032428),Sporthalle,"1., Rotenturmstraﬂe 14",300,Kletterhalle,http://www.alpenverein.at/sportklettern/kletteranlagenfinder/detail.php?kletterhalleId=28,
SPORTSTAETTENOGD.5,5,POINT (16.372780126188697 48.20292034361477),Sporthalle,"1., Walfischgasse 12",1000,Kletterhalle,http://www.alpenverein.at/sportklettern/kletteranlagenfinder/detail.php?kletterhalleId=16,
SPORTSTAETTENOGD.6,6,POINT (16.434110176246353 48.19836365725133),Vereinssport outdoor,"2., Ameisenwiese, Unteres Heustadlwasser",105170,Reitsportanlage,http://www.reitenwien.at/,
SPORTSTAETTENOGD.7,7,POINT (16.44012945932468 48.19370766118315),Vereinssport outdoor,"2., Aspernallee 3",10630,Rasenplatz (Baseball),http://www.aibcvienna.org,
SPORTSTAETTENOGD.8,8,POINT (16.42369958810348 48.21092082648094),Sporthalle,"2., Engerthstraﬂe 267-269",38580,"Sporthalle (Bahnradsport, Leichtathletik, Turnen, Mehrzweck-Veranstaltungshalle)",http://www.stadthalle.com/locations/ferry-dusika-hallenstadion/6,
SPORTSTAETTENOGD.9,9,POINT (16.42512280584652 48.20951150312042),Sporthalle,"2., Engerthstraﬂe 267-269",8010,"Sport & Fun Halle (Badminton, Beachvolleyball, Inlinehockey, Streetsoccer, Streetball, Tischtennis, Fitness)",http://www.wien.gv.at/freizeit/sportamt/sportstaetten/sportfun/engerthstrasse.html,
SPORTSTAETTENOGD.10,10,POINT (16.404963939113134 48.225271997357595),÷ffentlich outdoor,"2., Mexikoplatz",1135,"polysportiver Hartplatz,<br />polysportiver Hartplatz",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.11,11,POINT (16.438756495057728 48.189839210162795),Vereinssport outdoor,"2., Freudenau 555",2040,Reitsportanlage,http://www.askoe-wien.at/de/menu_4/sportanlagen/reitsportzentrum-freudenau,
SPORTSTAETTENOGD.12,12,POINT (16.440838790905254 48.1889982647088),Vereinssport outdoor,"2., Freudenau 555a",65540,Reitsportanlage,http://www.askoe-wien.at/de/menu_4/sportanlagen/reitsportzentrum-freudenau,
SPORTSTAETTENOGD.13,13,POINT (16.44065486146734 48.190999311941795),Vereinssport outdoor,"2., Freudenau 65a",42097,Golfanlage,http://www.gcwien.at/,
SPORTSTAETTENOGD.14,14,POINT (16.441297317792046 48.196706531229886),÷ffentlich outdoor,"2., Grafenwiese",2000,polysportiver Rasenplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.15,15,POINT (16.452903156168286 48.1913790977895),Vereinssport outdoor,"2., Hafenzufahrtsstraﬂe 63",3500,Reitsportanlage,http://www.reitenimprater.at/,
SPORTSTAETTENOGD.16,16,POINT (16.428998335701362 48.20874931493732),÷ffentlich outdoor,"2., Handelskai 341-343",34650,Bootssport (Motorboot),http://www.marina.at/indexflash.htm,
SPORTSTAETTENOGD.17,17,POINT (16.40229434960548 48.21239960583495),Vereinssport outdoor,"2., Hauptallee 121",1140,"22 Trampolinanlagen,<br />Asphaltstockbahnen",http://kolarik.com/inhalt.php?kat=3&start=1,
SPORTSTAETTENOGD.18,18,POINT (16.403739281845255 48.21185054049707),Vereinssport outdoor,"2., Hauptallee 123a",29380,"Hockeystadion (Kunstrasen),<br />Tennisanlage (7 Pl‰tze)",http://www.hockey.at/,
SPORTSTAETTENOGD.19,19,POINT (16.404865395996563 48.21087447249264),Sporthalle,"2., Hauptallee 124",3400,Bowlinghalle,http://www.us-play.com/wienprater/,
SPORTSTAETTENOGD.20,20,POINT (16.392542787386507 48.21626764710289),Sporthalle,"2., Hauptallee 2a",650,"Kegelbahn,<br />Fitness",,
SPORTSTAETTENOGD.21,21,POINT (16.398712424163598 48.21321720445392),÷ffentlich outdoor,"2., Hauptallee 3 gg¸",12000,polysportiver Rasenplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.22,22,POINT (16.392095711920707 48.23268378441679),÷ffentlich outdoor,"2., Innstraﬂe, Engerthstraﬂe",1000,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.23,23,POINT (16.425817341162702 48.20808886555767),Vereinssport outdoor,"2., Josef Fritschweg 2-4",37670,"Rasenplatz,<br />Kunstrasenplatz (Fuﬂball),<br />Tennisanlage (6 Pl‰tze),<br />Beachvolleyballplatz",http://www.ksv-wienstrom.at/,
SPORTSTAETTENOGD.24,24,POINT (16.414255141229056 48.2110436559424),Vereinssport outdoor,"2., Krieau",213740,"Reitsportanlage (Traben),<br />Golfanlage",http://www.krieau.at/content/,
SPORTSTAETTENOGD.25,25,POINT (16.38524874355129 48.22355204003903),Sporthalle,"2., Lessinggasse 21",200,Fechtanlage,http://www.balmung.org/,
SPORTSTAETTENOGD.26,26,POINT (16.378132861894816 48.21420310561635),÷ffentlich outdoor,"2., Manes-Sperber-Park",220,polysportive Hartpl‰tze,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.27,27,POINT (16.40539624520448 48.21708744370303),÷ffentlich outdoor,"2., Max-Koppe-Gasse",96,polysportiver Rasenplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.28,28,POINT (16.40028922282575 48.22015078327037),÷ffentlich outdoor,"2., Max-Winter-Platz",880,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.29,29,POINT (16.4172154950909 48.20752671122599),Vereinssport outdoor,"2., Meiereistraﬂe 18",41230,"Rasenplatz (Cricket),<br />Leichtathletikanlage,<br />Tennisanlage (12 Pl‰tze)",http://www.vienna-cricket.at/,
SPORTSTAETTENOGD.30,30,POINT (16.416288945135804 48.20528815407066),Vereinssport outdoor,"2., Meiereistraﬂe 20",14890,Tennisanlage (7 Pl‰tze),http://www.unionprater.ccc.at/,
SPORTSTAETTENOGD.31,31,POINT (16.419704105767742 48.207684646267445),Vereinssport outdoor,"2., Meiereistraﬂe 7",286340,"Wiener Praterstadion - Ernst-Happel Stadion (9 Rasenpl‰tze, 2 Kunstrasenpl‰tze, Leichtathletikanlage)",http://www.stadthalle.com/locations/ernst-happel-stadion/4,
SPORTSTAETTENOGD.32,32,POINT (16.384630184352194 48.21799282301368),÷ffentlich outdoor,"2., Odeongasse 5-7",261,polysportive Hartpl‰tze,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.33,33,POINT (16.3956755529109 48.21861471866014),÷ffentlich outdoor,"2., Praterstern, Ausstellungsstraﬂe",740,polysportive Hartpl‰tze,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.34,34,POINT (16.38791903713051 48.22476440238009),÷ffentlich outdoor,"2., Rueppgasse 33-35",186,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.35,35,POINT (16.398953569020176 48.21048611631839),Vereinssport outdoor,"2., Rustenschacherallee 1",17225,Tennisanlage (9 Pl‰tze),http://www.parkclub.at/,
SPORTSTAETTENOGD.36,36,POINT (16.39926224952311 48.21008865466405),Sporthalle,"2., Rustenschacherallee 1",1300,Tennishalle (2 Pl‰tze),http://www.parkclub.at/,
SPORTSTAETTENOGD.37,37,POINT (16.398990741358272 48.20963758995814),Vereinssport outdoor,"2., Rustenschacherallee 3-5",40000,"2 Kunstrasenpl‰tze (Fuﬂball),<br />Tennisanlage (10 Pl‰tze),<br />Minigolfanlage,<br />polysportiver Hartplatz",http://www.ksv-sportzentrum.info/,
SPORTSTAETTENOGD.38,38,POINT (16.399611348559343 48.2078491352306),Vereinssport outdoor,"2., Rustenschacherallee 7",4700,Tennisanlage (4 Pl‰tze),http://www.sv-schwarz-blau.at/,
SPORTSTAETTENOGD.39,39,POINT (16.401299108995563 48.2067733241319),Sporthalle,"2., Rustenschacherallee 9",1050,Tennishalle (2 Pl‰tze),http://www.wac.at/,
SPORTSTAETTENOGD.40,40,POINT (16.402857175122207 48.2071108435719),Vereinssport outdoor,"2., Rustenschacherallee 9",71400,"Rasenplatz,<br />Tennisanlage (23 Pl‰tze)",http://www.wac.at/,
SPORTSTAETTENOGD.41,41,POINT (16.39958526092064 48.212412363695705),÷ffentlich outdoor,"2., Rustenschacherallee, Hauptallee",585,Skateranlage,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.42,42,POINT (16.402313295385074 48.20570408533009),÷ffentlich outdoor,"2., Rustenschacherallee, Jesuitenwiese 26-56 gg¸",10000,"polysportiver Rasenplatz,<br />Beachvolleyballanlage",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.43,43,POINT (16.456473844719902 48.181653300137526),Vereinssport outdoor,"2., Seitenhafenstraﬂe (1) 15 gg¸",6420,Bogenschieﬂanlage,http://www.bogensport-schoenbrunn.at/,
SPORTSTAETTENOGD.44,44,POINT (16.403419595629856 48.209148727365324),Vereinssport outdoor,"2., Spenadlwiese",43200,"2 Rasenpl‰tze (Baseball, Fuﬂball, Softball)",http://www.askoe-wien.at/,
SPORTSTAETTENOGD.45,45,POINT (16.388350313743437 48.21372465351041),÷ffentlich outdoor,"2., Untere Donaustraﬂe 41 gg¸",549,"polysportiver Rasenplatz,<br />polysportiver Hartplatz",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.46,46,POINT (16.395497228952767 48.21999454160018),Vereinssport outdoor,"2., Venediger Au 11",7610,"polysportiver Rasenplatz,<br />Leichtathletikanlage",http://www.wien.gv.at/freizeit/sportamt/sportstaetten/anlagen/jugendsport/venediger-au.html,
SPORTSTAETTENOGD.47,47,POINT (16.386846630450474 48.22284340414179),÷ffentlich outdoor,"2., Volkertplatz",240,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.48,48,POINT (16.402638650139373 48.22618178451076),÷ffentlich outdoor,"2., Walcherstraﬂe",500,polysportiver Rasenplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.49,49,POINT (16.428088222281897 48.20747494755249),Vereinssport outdoor,"2., Wehlistraﬂe 320",17830,"Tennisanlage (11 Pl‰tze, 5 Hallenpl‰tze)",http://www.ltmtennis.com/art/,
SPORTSTAETTENOGD.50,50,POINT (16.372017678572387 48.21838875277958),÷ffentlich outdoor,"2., Wilhelm-Kienzl-Park",790,polysportive Hartpl‰tze,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.51,51,POINT (16.381039751051603 48.2038742830584),÷ffentlich outdoor,"3., Am Heumarkt 1-13 gg¸",465,polysportive Hartpl‰tze,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.52,52,POINT (16.38250317746024 48.19954060351753),÷ffentlich outdoor,"3., Am Modenapark",486,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.53,53,POINT (16.391301551004666 48.1984381035611),÷ffentlich outdoor,"3., Arenbergpark",1589,polysportive Hartpl‰tze,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.54,54,POINT (16.387870524346056 48.181488497315335),Vereinssport outdoor,"3., Arsenalstraﬂe 3",15400,Tennisanlage (21 Pl‰tze),http://www.tennis-arsenal.at/,
SPORTSTAETTENOGD.55,55,POINT (16.405719760040093 48.19120639361953),Vereinssport outdoor,"3., Baumgasse 58a",9180,"polysportiver Rasenplatz,<br />Tennisanlage (6 Pl‰tze),<br />polysportiver Hartplatz",http://watlandstrasse.at/,
SPORTSTAETTENOGD.56,56,POINT (16.408005768560777 48.19134509966514),Sporthalle,"3., Baumgasse 83",7130,Tennishalle (10 Pl‰tze),http://www.vienna-sporthotel.at/,
SPORTSTAETTENOGD.57,57,POINT (16.409807355572475 48.19103953797525),Vereinssport outdoor,"3., Baumgasse 87",29410,"Rasenplatz,<br />Kunstrasenplatz (Fuﬂball)",http://www.lac1911.at/,
SPORTSTAETTENOGD.58,58,POINT (16.394506071518233 48.20993268543959),Sporthalle,"3., Custozzagasse 13",200,Fechtanlage,http://www.fechten-wien.at/,
SPORTSTAETTENOGD.59,59,POINT (16.390622549847027 48.20443472586976),÷ffentlich outdoor,"3., Czapkagasse 17",117,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.60,60,POINT (16.396833392830548 48.20507741048893),÷ffentlich outdoor,"3., Erdberger L‰nde 2-56 gg¸",622,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.61,61,POINT (16.394471632267464 48.17846244064868),Vereinssport outdoor,"3., Faradaygasse 4",11556,Tennisanlage (15 Pl‰tze),http://www.skh.at/,
SPORTSTAETTENOGD.62,62,POINT (16.404007845041768 48.19608236244865),÷ffentlich outdoor,"3., Fiakerplatz",90,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.63,63,POINT (16.415580019767912 48.18963328896992),Sporthalle,"3., Franzosengraben 2",10200,"Fitnesscenter (Badminton, Squash, Tennis, Fitness)",http://www.clubdanube.at/cd_index.php,
SPORTSTAETTENOGD.64,64,POINT (16.40014670911538 48.18316403998344),Vereinssport outdoor,"3., Grasbergergasse 18",23163,"Rasenplatz,<br />Kunstrasenplatz (Fuﬂball),<br />Kunstrasenmehrzweckplatz",http://www.rsv-1901.at/start.php,
SPORTSTAETTENOGD.65,65,POINT (16.386368747610394 48.18605007376408),÷ffentlich outdoor,"3., Heeresmuseumstrasse 2",1245,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.66,66,POINT (16.401445501862376 48.19733165440122),÷ffentlich outdoor,"3., Kardinal-Nagl-Platz",402,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.67,67,POINT (16.390466862302763 48.20999294393643),÷ffentlich outdoor,"3., Kolonitzplatz, Untere Viaduktgasse 19",1368,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.68,68,POINT (16.39859029028571 48.19130413752064),÷ffentlich outdoor,"3., Landstraﬂer Hauptstraﬂe 148",306,polysportive Hartpl‰tze,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.69,69,POINT (16.378136822552275 48.20158877494988),÷ffentlich outdoor,"3., Lothringerstraﬂe 22",9550,"Eissportanlage ,<br />Beachvolleyballanlage",http://www.wev.or.at/,
SPORTSTAETTENOGD.70,70,POINT (16.411164515650913 48.19090151288184),Sporthalle,"3., Nottendorfer Gasse 22",1160,"Tennis- und Badmintonhalle (10 Pl‰tze, 6 Courts)",http://www.tennispoint.at/baumgasse/,
SPORTSTAETTENOGD.71,71,POINT (16.378939329526354 48.19247027823039),Vereinssport outdoor,"3., Prinz Eugenstraﬂe 25",3750,Tennisanlage (5 Pl‰tze),http://www.playtennis.at/Tennis-Club-Schwarzenberg,
SPORTSTAETTENOGD.72,72,POINT (16.385001914114305 48.1872633984058),Vereinssport outdoor,"3., Schweizergarten",2000,polysportiver Rasenplatz,http://www.wien.gv.at/freizeit/sportamt/sportstaetten/anlagen/jugendsport/schweizergarten.html,
SPORTSTAETTENOGD.73,73,POINT (16.370595109129038 48.19934442994349),÷ffentlich outdoor,"4., Karlsplatz",805,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.74,74,POINT (16.365285458941027 48.1915576141469),÷ffentlich outdoor,"4., Rubensgasse, Klagbaumgasse",216,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.75,75,POINT (16.37145371091584 48.186785523419104),÷ffentlich outdoor,"4., Schelleingasse 28-30",440,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.76,76,POINT (16.36699842832883 48.186825929547254),÷ffentlich outdoor,"4., Seisgasse 7a",1110,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.77,77,POINT (16.34744532937621 48.18716848431973),÷ffentlich outdoor,"5., Am Hundsturm",79,"polysportiver Hartplatz,<br />Kletteranlage",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.78,78,POINT (16.35610573955959 48.18824402528459),Vereinssport outdoor,"5., Bacherplatz",1490,"polysportiver Hartplatz,<br />Laufbahn",http://www.wien.gv.at/freizeit/sportamt/sportstaetten/anlagen/jugendsport/bacherplatz.html,
SPORTSTAETTENOGD.79,79,POINT (16.355570835087615 48.187798715195264),÷ffentlich outdoor,"5., Bacherplatz",740,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.80,80,POINT (16.350002143198193 48.18586616539101),÷ffentlich outdoor,"5., Einsiedlerplatz",632,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.81,81,POINT (16.356419803209896 48.19407294660493),÷ffentlich outdoor,"5., Gr¸ngasse, R¸digergasse",165,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.82,82,POINT (16.360397416879263 48.18210607943976),Sporthalle,"5., Hollgasse 3",6385,Sporthalle (Schwerpunkt Handball),http://www.wien.gv.at/freizeit/sportamt/sportstaetten/hallen/hollgasse.html,
SPORTSTAETTENOGD.83,83,POINT (16.355242729462525 48.18108947278856),÷ffentlich outdoor,"5., Leopold-Rister-Gasse, Kohlgasse",881,polysportive Hartpl‰tze,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.84,84,POINT (16.350496406275617 48.18022825689448),÷ffentlich outdoor,"5., Margareteng¸rtel 82-88 gg¸",201,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.85,85,POINT (16.343932938020235 48.187951559399295),÷ffentlich outdoor,"5., Margareteng¸rtel, Bruno-Kreisky-Park 120",768,"polysportiver Hartplatz,<br />Beachvolleyballanlage",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.86,86,POINT (16.360992619227794 48.18989695121796),÷ffentlich outdoor,"5., Mittersteig 26-28",220,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.87,87,POINT (16.362160556360312 48.18773076780293),÷ffentlich outdoor,"5., Nikolsdorfer Gasse, Stolberggasse",332,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.88,88,POINT (16.350761784784755 48.18281692131866),÷ffentlich outdoor,"5., Siebenbrunnengasse, Einsiedlergasse",150,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.89,89,POINT (16.362678051809525 48.18483105785617),÷ffentlich outdoor,"5., Wiedner Hauptstraﬂe, Kliebergasse",144,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.90,90,POINT (16.35262143166893 48.19771499195399),÷ffentlich outdoor,"6., Esterhzypark",500,polysportive Hartpl‰tze,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.91,91,POINT (16.352894037619677 48.19753652737844),÷ffentlich outdoor,"6., Gumpendorfer Straﬂe 52",300,Kletteranlage,http://www.alpenverein-austria.at/OEAV/kletteranlagen/flakturm/index.php,
SPORTSTAETTENOGD.92,92,POINT (16.352347979064564 48.1935329247329),÷ffentlich outdoor,"6., Hofm¸hlgasse, Magdalenenstraﬂe",171,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.93,93,POINT (16.346128214571817 48.19299926215964),Sporthalle,"6., Liniengasse 13",100,Tischtennishalle,http://members.a1.net/watmar/,
SPORTSTAETTENOGD.94,94,POINT (16.361817992275824 48.19815864155805),÷ffentlich outdoor,"6., Linke Wienzeile 24-32",310,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.95,95,POINT (16.342444812168754 48.19397735664503),÷ffentlich outdoor,"6., Millergasse 31",216,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.96,96,POINT (16.3426589469208 48.18922009656823),Sporthalle,"6., Mollardgasse 87",750,Sporthalle (Schwerpunkt Basketball),http://www.wien.gv.at/freizeit/sportamt/sportstaetten/hallen/mollardgasse.html,
SPORTSTAETTENOGD.97,97,POINT (16.33956903528958 48.18962872744168),÷ffentlich outdoor,"6., Mollardgasse, Eisvogelgasse",380,polysportive Hartpl‰tze,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.98,98,POINT (16.346749968799802 48.192077582678685),÷ffentlich outdoor,"6., Stumpergasse 8-12",454,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.99,99,POINT (16.346372616652996 48.204426799550546),÷ffentlich outdoor,"7., Burggasse 78-80",450,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.100,100,POINT (16.340170998234967 48.207624624409334),÷ffentlich outdoor,"7., Josef-Strauﬂ-Park",910,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.101,101,POINT (16.35588489404762 48.20633291594133),÷ffentlich outdoor,"7., Neustiftgasse, Museumstraﬂe",508,polysportive Hartpl‰tze,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.102,102,POINT (16.35241125753245 48.203019834655706),÷ffentlich outdoor,"7., Siebensterngasse 36",58,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.103,103,POINT (16.33820399976001 48.20140553240031),÷ffentlich outdoor,"7., Urban-Loritz-Platz",216,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.104,104,POINT (16.342344664581343 48.212037926353055),÷ffentlich outdoor,"8., Bennoplatz",292,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.105,105,POINT (16.353029885901524 48.21011770190079),Vereinssport outdoor,"8., Buchfeldgasse 7a",1268,polysportiver Hartplatz,http://www.wien.gv.at/freizeit/sportamt/sportstaetten/anlagen/jugendsport/buchfeldgasse.html,
SPORTSTAETTENOGD.106,106,POINT (16.350850905347123 48.212110979990655),÷ffentlich outdoor,"8., Florianigasse, Lange Gasse",1157,"polysportive Hartpl‰tze,<br />Beachvolleyballanlage",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.107,107,POINT (16.348073058383232 48.21161901781526),Sporthalle,"8., Fuhrmannsgasse 18",300,Fechthalle,,
SPORTSTAETTENOGD.108,108,POINT (16.345211173752727 48.21114794929888),÷ffentlich outdoor,"8., Hamerlingplatz",508,"polysportiver Rasenplatz,<br />polysportiver Hartplatz",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.109,109,POINT (16.350783483450183 48.2064455579734),Sporthalle,"8., Lerchenfelderstraﬂe 28",300,Kletterhalle,http://www.kletterzentrum.at/OeGV-KLEZ/news/index.php?zv=106&ve=86&gr=86&navid=60,
SPORTSTAETTENOGD.110,110,POINT (16.34504108449487 48.208748853616854),÷ffentlich outdoor,"8., Tigergasse 20",100,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.111,111,POINT (16.35816745194181 48.226889882829525),÷ffentlich outdoor,"9., Lichtentaler Gasse, Marktgasse",405,"polysportiver Hartplatz,<br />Beachvolleyballanlage",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.112,112,POINT (16.358397170637158 48.22341758302872),÷ffentlich outdoor,"9., Liechtensteinstraﬂe",680,Beachvolleyballanlage,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.113,113,POINT (16.36196629614206 48.21988980811598),Sporthalle,"9., Porzellangasse 14-16",350,Sporthalle (polysportiv),http://www.sportunion-wien9.at/,
SPORTSTAETTENOGD.114,114,POINT (16.367566596760813 48.223819137884576),÷ffentlich outdoor,"9., Roﬂauer L‰nde 1-49 gg¸",470,"polysportive Hartpl‰tze,<br />Beachvolleyballanlage",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.115,115,POINT (16.364754516911788 48.21743788003877),÷ffentlich outdoor,"9., Schlickplatz",418,polysportive Hartpl‰tze,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.116,116,POINT (16.35388233102827 48.221195983438626),÷ffentlich outdoor,"9., Spitalgasse, W‰hringer Straﬂe",1150,"polysportiver Rasenplatz,<br />polysportiver Hartplatz",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.117,117,POINT (16.3854754728624 48.1663019630689),÷ffentlich outdoor,"10., Absberggasse",450,"polysportiver Rasenplatz,<br />Skateranlage",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.118,118,POINT (16.37980302525286 48.16203264980495),÷ffentlich outdoor,"10., Anningerweg, Grenzackerstraﬂe",3000,polysportiver Rasenplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.119,119,POINT (16.377762983872827 48.1717669738928),÷ffentlich outdoor,"10., Antonsplatz",352,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.120,120,POINT (16.360880454983594 48.174591867715066),÷ffentlich outdoor,"10., Belgradplatz",442,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.121,121,POINT (16.395354516754146 48.14649098764527),÷ffentlich outdoor,"10., Bergtaidingweg, Johann-Pˆlzer-Gasse",1188,polysportiver Rasenplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.122,122,POINT (16.406955089982127 48.16113669098889),÷ffentlich outdoor,"10., Bitterlichstraﬂe",1000,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
